Year,Category,Bronx,Brooklyn,Manhattan,Queens,Staten island,Citywide
2020,FJC_Client_Visits,"7,602","9,470","6,857","12,870","6,535","43,334"
2020,FJC_Unique_Clients,"2,609","3,642","1,733","4,296","1,518","13,798"
2020,FJC_Unique_Clients_Service_Safety_Plan,"2,154","2,587","1,477","2,849","1,171","10,238"
2020,FJC_Unique_Clients_Service_Crim_Just,950,"1,333",357,756,320,"3,716"
2020,FJC_Unique_Clients_Service_Civ_Legal,912,"1,157",797,"1,650",634,"5,150"
2020,FJC_Unique_Clients_Service_Counseling,920,932,"1,164","2,419",722,"6,157"
2020,FJC_Unique_Clients_Service_Prac_Assistance,333,196,218,203,143,"1,093"
2020,FJC_Unique_Clients_Service_Eco_Empower,146,135,267,151,150,849
2020,FJC_Unique_Clients_Service_Housing_Shelter,159,187,309,246,170,"1,071"
2020,FJC_Unique_Clients_Service_Health_Mental_Health,62,78,72,229,44,485
2020,Contracted_Legal_Family_Law,2,2,2,2,2,10
2020,Contracted_Legal_Family_Law_Para,1,1,1,1,1,5
2020,Contracted_Legal_Immigration_Law,1,1,1,1,1,5
2020,Contracted_Legal_Immigration_Law_Para,,,,,,3
2020,Contracted_Legal_Housing_Law,,,,,,3
2020,Contracted_Legal_Language_Spanish,9,4,5,2,4,15
2020,Contracted_Legal_Language_Arabic,0,1,0,0,0,1
2020,Contracted_Legal_Language_Korean,0,0,0,1,0,1
2020,Contracted_Legal_Language_Russian,0,0,1,0,0,1
2020,contracted_legal_language_farsi,0,1,0,0,0,1
2020,contracted_legal_language_polish,0,1,0,0,0,1
2020,contracted_legal_language_portuguese,0,0,1,0,0,1
2020,Contracted_NonLegal_Case_Management,3,3,2,2,2,12
2020,Contracted_NonLegal_Children_Services,4,4,4,4,4,20
2020,Contracted_NonLegal_Reception_Screening,4,4,4,4,4,20
2020,Econ_Empower_W!SE,1,1,1,1,1,5
2020,Econ_Empower_Steps_Success,0,0,1,0,0,1
2020,Econ_Empower_Everywhere,0,0,1,0,0,1
2020,Econ_Empower_SFF,1,0,1,0,0,2
2020,Econ_Empower_GetCoveredNYC,1,1,0,0,0,2
2020,Econ_Empower_HRA,1,1,1,1,1,5
2020,Econ_Empower_SNAP,1,1,0,0,0,2
2020,Econ_Empower_HousingLink,1,1,1,1,1,5
2020,Training_City_Agency_Staff,,,,,,22
2020,Training_Non_Profit_Staff,,,,,,54
2020,Training_Community_Members,,,,,,2
2020,Training_Total,,,,,,78
2020,Healthy_Rel_Workshops_Youth,,,,,,105
